Anime,URL,Tags,Alts
talesofgekijou,https://www.anime-planet.com/anime/tales-of-gekijou,"['Comedy', 'Chibi', 'Short Episodes']",
anohinokokorowotoraete,https://www.anime-planet.com/anime/ano-hi-no-kokoro-wo-toraete,"['Drama', 'Sci Fi', 'Slice of Life', 'Childhood Friends', 'Promotional', 'Shorts', 'Original Work']",
kokorotoshokan,https://www.anime-planet.com/anime/kokoro-toshokan,"['Comedy', 'Fantasy', 'Shounen', 'Slice of Life', 'Library', 'Siblings', 'Based on a Manga']",
digicharatrocketfromamouth,https://www.anime-planet.com/anime/di-gi-charat-rocket-from-a-mouth,"['Comedy', 'Aliens', 'Chibi', 'Gag']","
Alt title: Di Gi Charat: Kuchi Kara Bazooka
"
tensaibanpakuopeninganimation,https://www.anime-planet.com/anime/tensai-banpaku-opening-animation,"['Abstract', 'Opening Animation', 'Promotional', 'Short Episodes']","
Alt title: Genius Expo Opening Animation
"
rozenmaidendetectivekunkun,https://www.anime-planet.com/anime/rozen-maiden-detective-kun-kun,"['Mystery', 'Animal Protagonists', 'Cats', 'Detectives', 'Dogs', 'Non-Human Protagonists', 'Rabbits', 'Shorts']",
newyorktrip,https://www.anime-planet.com/anime/new-york-trip,"['America', 'Shorts']",
push,https://www.anime-planet.com/anime/push,"['Sci Fi', 'No Dialogue', 'Post-apocalyptic', 'Shorts']",
mickeytoolivernoagentyouseikouza,https://www.anime-planet.com/anime/mickey-to-oliver-no-agent-yousei-kouza,"['Chibi', 'Short Episodes', 'Based on a Manga']",
nekkokun,https://www.anime-planet.com/anime/nekko-kun,"['Anthropomorphic', 'Family Friendly', 'Minna no Uta', 'Non-Human Protagonists']","
Alt title: Minna no Uta: Nekko-kun
"
truth,https://www.anime-planet.com/anime/truth,['Shorts'],
yellow,https://www.anime-planet.com/anime/yellow,"['Abstract', 'Short Episodes', 'Shorts']","
Alt title: Kiro no Hito
"
nananasburiedtreasurepv,https://www.anime-planet.com/anime/nananas-buried-treasure-pv,"['Ghosts', 'Promotional', 'Shorts', 'Supernatural', 'Based on a Light Novel']","
Alt title: Ryuugajou Nanana no Maizoukin PV
"
kemonofriendsbasuteki,https://www.anime-planet.com/anime/kemono-friends-basuteki,"['Adventure', 'Animal Protagonists', 'Anthropomorphic', 'Iyashikei', 'Non-Human Protagonists', 'Zoo', 'Based on a Mobile Game', 'CG Animation']",
gackttsukinouta,https://www.anime-planet.com/anime/gackt-tsuki-no-uta,['CG Animation'],
kyotoanimationkoushikitwitteritsumoarigatou,https://www.anime-planet.com/anime/kyoto-animation-koushiki-twitter-itsumo-arigatou,"['Black and White', 'Shorts']",
jrnishinihonsummertrain,https://www.anime-planet.com/anime/jr-nishi-nihon-summer-train,"['Slice of Life', 'Commercials', 'Family Friendly', 'Promotional', 'Trains']",
doyouloveyourmomandhertwohitmultitargetattacksdoyouloveyourmomontheshore,https://www.anime-planet.com/anime/do-you-love-your-mom-and-her-two-hit-multi-target-attacks-do-you-love-your-mom-on-the-shore,"['Comedy', 'Ecchi', 'Fantasy', 'Amnesia', 'Person in a Strange World', 'Trapped in a Video Game', 'Based on a Light Novel']","
Alt title: Tsujou Kougeki ga Zentai Kougeki de 2-kai Kougeki no Okaasan wa Suki desu ka? Special
"
becauseidontlikemybigbrotheratallspecial,https://www.anime-planet.com/anime/because-i-dont-like-my-big-brother-at-all-special,"['Ecchi', 'Incest', 'Mature Themes']","
Alt title: Onii-chan no Koto Nanka Zenzen Suki Janain Dakara ne!! Imouto Yori Ai o Komete Ani no ""Sei Tai Kansatsuki""
"
