Anime,URL,MAL_ID
Martian Successor Nadesico,https://www.anime-planet.com/anime/martian-successor-nadesico,218
∞,https://www.anime-planet.com/anime/infinity,222
Dragon Ball,https://www.anime-planet.com/anime/dragon-ball,223
Dragon Ball GT,https://www.anime-planet.com/anime/dragon-ball-gt,225
Elfen Lied,https://www.anime-planet.com/anime/elfen-lied,226
FLCL,https://www.anime-planet.com/anime/flcl,227
Yuri!!! on Ice,https://www.anime-planet.com/anime/yuri-on-ice,32995
Hell Girl,https://www.anime-planet.com/anime/hell-girl,228
Air Master,https://www.anime-planet.com/anime/air-master,230
91 Days,https://www.anime-planet.com/anime/91-days,32998
Cardcaptor Sakura,https://www.anime-planet.com/anime/cardcaptor-sakura,232
Daa! Daa! Daa!,https://www.anime-planet.com/anime/daa-daa-daa,233
Dan Doh!!,https://www.anime-planet.com/anime/dan-doh,234
Magical Girl Raising Project,https://www.anime-planet.com/anime/magical-girl-raising-project,33003
E's Otherwise,https://www.anime-planet.com/anime/es-otherwise,236
Eureka Seven,https://www.anime-planet.com/anime/eureka-seven,237
Flame of Recca,https://www.anime-planet.com/anime/flame-of-recca,238
Gankutsuou: The Count of Monte Cristo,https://www.anime-planet.com/anime/gankutsuou-the-count-of-monte-cristo,239
Genshiken,https://www.anime-planet.com/anime/genshiken,240
Tanaka-kun wa Kyou mo Kedaruge,https://www.anime-planet.com/anime/tanaka-kun-wa-kyou-mo-kedaruge,33004
Gokusen,https://www.anime-planet.com/anime/gokusen,242
Gravitation,https://www.anime-planet.com/anime/gravitation,243
Agatha Christie's Great Detectives Poirot and Marple,https://www.anime-planet.com/anime/agatha-christie-s-great-detectives-poirot-and-marple,244
Great Teacher Onizuka,https://www.anime-planet.com/anime/great-teacher-onizuka,245
Rave Master,https://www.anime-planet.com/anime/rave-master,246
Haruka: Beyond the Stream of Time – A Tale of the Eight Guardians,https://www.anime-planet.com/anime/haruka-beyond-the-stream-of-time-a-tale-of-the-eight-guardians,247
Ichigo 100%,https://www.anime-planet.com/anime/ichigo-100,248
InuYasha,https://www.anime-planet.com/anime/inuyasha,249
Zatch Bell!,https://www.anime-planet.com/anime/zatch-bell,250
Kyo Kara Maoh!,https://www.anime-planet.com/anime/kyo-kara-maoh,251
Reikenzan: Eichi e no Shikaku,https://www.anime-planet.com/anime/reikenzan-eichi-e-no-shikaku,33019
Haré+Guu,https://www.anime-planet.com/anime/hare-guu,253
Haré+Guu DELUXE,https://www.anime-planet.com/anime/hare-guu-deluxe,254
Haré+Guu FINAL,https://www.anime-planet.com/anime/hare-guu-final,255
Voices of a Distant Star,https://www.anime-planet.com/anime/voices-of-a-distant-star,256
Madlax,https://www.anime-planet.com/anime/madlax,252
Lament of the Lamb,https://www.anime-planet.com/anime/lament-of-the-lamb,258
Happy Lesson,https://www.anime-planet.com/anime/happy-lesson,259
Happy Lesson,https://www.anime-planet.com/anime/happy-lesson,260
Happy Lesson Advance,https://www.anime-planet.com/anime/happy-lesson-advance,261
The First Step,https://www.anime-planet.com/anime/the-first-step,263
Hajime no Ippo: Champion Road,https://www.anime-planet.com/anime/hajime-no-ippo-champion-road,264
Hajime no Ippo: Mashiba vs Kimura,https://www.anime-planet.com/anime/hajime-no-ippo-mashiba-vs-kimura,265
Drifters: Special Edition,https://www.anime-planet.com/anime/drifters-special-edition,33032
Gungrave,https://www.anime-planet.com/anime/gungrave,267
Golden Boy,https://www.anime-planet.com/anime/golden-boy,268
Bleach,https://www.anime-planet.com/anime/bleach,269
Hellsing,https://www.anime-planet.com/anime/hellsing,270
Happy Lesson The Final,https://www.anime-planet.com/anime/happy-lesson-the-final,262
Noir,https://www.anime-planet.com/anime/noir,272
Someday's Dreamers,https://www.anime-planet.com/anime/somedays-dreamers,273
Kiddy Grade,https://www.anime-planet.com/anime/kiddy-grade,274
Love Love?,https://www.anime-planet.com/anime/love-love,275
Gad Guard,https://www.anime-planet.com/anime/gad-guard,271
Viewtiful Joe,https://www.anime-planet.com/anime/viewtiful-joe,278
Requiem from the Darkness,https://www.anime-planet.com/anime/requiem-from-the-darkness,279
Akane Maniax,https://www.anime-planet.com/anime/akane-maniax,281
Fate/stay night: Heaven's Feel II. lost butterfly,https://www.anime-planet.com/anime/fate-stay-night-heavens-feel-ii-lost-butterfly,33049
Mobile Suit Gundam: Iron Blooded Orphans 2nd Season,https://www.anime-planet.com/anime/mobile-suit-gundam-iron-blooded-orphans-2nd-season,33051
Fate/stay night: Heaven's Feel III. spring song,https://www.anime-planet.com/anime/fate-stay-night-heavens-feel-iii-spring-song,33050
Angel Heart,https://www.anime-planet.com/anime/angel-heart,282
B't X,https://www.anime-planet.com/anime/btx,286
Baki the Grappler,https://www.anime-planet.com/anime/baki-the-grappler,287
Beyblade,https://www.anime-planet.com/anime/beyblade,288
Comic Party,https://www.anime-planet.com/anime/comic-party,289
Crest of the Stars,https://www.anime-planet.com/anime/crest-of-the-stars,290
Dear Boys,https://www.anime-planet.com/anime/dear-boys,292
Di Gi Charat,https://www.anime-planet.com/anime/di-gi-charat,293
Divergence Eve,https://www.anime-planet.com/anime/divergence-eve,294
Dragon Drive,https://www.anime-planet.com/anime/dragon-drive,296
.hack//Legend Of The Twilight,https://www.anime-planet.com/anime/hack-legend-of-the-twilight,298
.hack//LIMINALITY,https://www.anime-planet.com/anime/hack-liminality,299
3x3 Eyes,https://www.anime-planet.com/anime/3x3-eyes,300
Cinderella Boy,https://www.anime-planet.com/anime/cinderella-boy,301
Future Boy Conan,https://www.anime-planet.com/anime/future-boy-conan,302
Ah! My Goddess: The Movie,https://www.anime-planet.com/anime/ah-my-goddess-the-movie,304
The Abashiri Family,https://www.anime-planet.com/anime/the-abashiri-family,305
Magical Shopping Arcade Abenobashi,https://www.anime-planet.com/anime/magical-shopping-arcade-abenobashi,306
Oh! My Goddess: The Adventures of Mini-Goddess,https://www.anime-planet.com/anime/oh-my-goddess-the-adventures-of-mini-goddess,303
Zettai Shounen,https://www.anime-planet.com/anime/zettai-shounen,308
Lupin III: Part IV Specials,https://www.anime-planet.com/anime/lupin-the-3rd-part-iv-specials,33074
"Chiisana Obake Acchi, Kocchi, Socchi",https://www.anime-planet.com/anime/chiisana-obake-acchi-kocchi-socchi,310
Brotherhood: Final Fantasy XV,https://www.anime-planet.com/anime/brotherhood-final-fantasy-xv,33080
Kingsglaive: Final Fantasy XV,https://www.anime-planet.com/anime/kingsglaive-final-fantasy-xv,33082
Xiao Qian,https://www.anime-planet.com/anime/xiao-qian,315
Ace wo Nerae!,https://www.anime-planet.com/anime/ace-wo-nerae,311
Final Fantasy VII: Advent Children,https://www.anime-planet.com/anime/final-fantasy-vii-advent-children,317
Najica Blitz Tactics,https://www.anime-planet.com/anime/najica-blitz-tactics,321
Paradise Kiss,https://www.anime-planet.com/anime/paradise-kiss,322
Paranoia Agent,https://www.anime-planet.com/anime/paranoia-agent,323
Peach Girl,https://www.anime-planet.com/anime/peach-girl,325
Pet Shop of Horrors,https://www.anime-planet.com/anime/pet-shop-of-horrors,326
Petite Princess Yucie,https://www.anime-planet.com/anime/petite-princess-yucie,327
Planetes,https://www.anime-planet.com/anime/planetes,329
Midori Days,https://www.anime-planet.com/anime/midori-days,330
Piano: The Melody of a Young Girl's Heart,https://www.anime-planet.com/anime/piano-the-melody-of-a-young-girls-heart,328
www.Working!!,https://www.anime-planet.com/anime/wwwworking,33094
Mahoujin Guru Guru,https://www.anime-planet.com/anime/mahoujin-guru-guru,331
Marmalade Boy,https://www.anime-planet.com/anime/marmalade-boy,334
Mythical Detective Loki Ragnarok,https://www.anime-planet.com/anime/mythical-detective-loki-ragnarok,335
Meine Liebe,https://www.anime-planet.com/anime/meine-liebe,336
Psychic Academy,https://www.anime-planet.com/anime/psychic-academy,337
The Rose of Versailles,https://www.anime-planet.com/anime/the-rose-of-versailles,338
Serial Experiments Lain,https://www.anime-planet.com/anime/serial-experiments-lain,339
Shura no Toki: Age of Chaos,https://www.anime-planet.com/anime/shura-no-toki,340
Starship Operators,https://www.anime-planet.com/anime/starship-operators,342
Tsukuyomi: Moon Phase,https://www.anime-planet.com/anime/tsukuyomi-moon-phase,343
Twin Spica,https://www.anime-planet.com/anime/twin-spica,344
Emma: A Victorian Romance,https://www.anime-planet.com/anime/emma-a-victorian-romance,345
W Wish,https://www.anime-planet.com/anime/w-wish,346
Wild Arms: Twilight Venom,https://www.anime-planet.com/anime/wild-arms-twilight-venom,347
Bottle Fairy,https://www.anime-planet.com/anime/bottle-fairy,348
Scared Rider Xechs,https://www.anime-planet.com/anime/scared-rider-xechs,33113
