Anime,URL,Tags,Alts,id
March Comes in like a Lion Recap,https://www.anime-planet.com/anime/march-comes-in-like-a-lion-recap,"['Drama', 'Seinen', 'Slice of Life', 'Board Games', 'Orphans', 'Psychological', 'Recap', 'Shogi', 'Based on a Manga']","
Alt title: 3-gatsu no Lion Recap
",34647
marchcomesinlikealionugokunyashogi,https://www.anime-planet.com/anime/march-comes-in-like-a-lion-ugoku-nya-shogi,"['Board Games', 'Chibi', 'Educational', 'Based on a Manga']","
Alt title: 3-gatsu no Lion: Ugoku! Nya Shogi
",38154
loveliveschoolidolproject2recap,https://www.anime-planet.com/anime/love-live-school-idol-project-2-recap,"['Idols', 'Music', 'Recap']",,30829
30-pun de Wakaru! Kore made no Love Live! Sunshine!!,https://www.anime-planet.com/anime/30-pun-de-wakaru-kore-made-no-love-live-sunshine,"['All-Girls School', 'Idols', 'Music', 'Recap', 'School Life']",,41188
30sainohokentaiiku,https://www.anime-planet.com/anime/30-sai-no-hoken-taiiku,"['Comedy', 'Ecchi', 'Gods', 'Non-Human Protagonists', 'Salaryman', 'Supernatural', 'Sexual Content', 'Based on a Light Novel']",,9624
30sainohokentaiikuspecials,https://www.anime-planet.com/anime/30-sai-no-hoken-taiiku-specials,"['Comedy', 'Ecchi', 'Supernatural', 'Sexual Content', 'Based on a Light Novel']",,12131
30thgundamperfectmission,https://www.anime-planet.com/anime/30th-gundam-perfect-mission,"['Action', 'Mecha', 'Sci Fi', 'Shorts']",,7113
Real Girl,https://www.anime-planet.com/anime/real-girl,"['Comedy', 'Romance', 'Shoujo', 'School Life', 'Based on a Manga']","
Alt title: 3D Kanojo
",36793
Real Girl 2nd Season,https://www.anime-planet.com/anime/real-girl-2nd-season,"['Comedy', 'Romance', 'Shoujo', 'School Life', 'Based on a Manga']","
Alt title: 3D Kanojo 2nd Season
",37956
3D Onara Gorou ga Dance Dance Dance!!,https://www.anime-planet.com/anime/3d-onara-gorou-ga-dance-dance-dance,"['Comedy', 'Crude', 'Non-Human Protagonists', 'Shorts', 'CG Animation', 'Original Work']",,33696
3x3 Eyes,https://www.anime-planet.com/anime/3x3-eyes,"['Action', 'Fantasy', 'Seinen', 'Demons', 'Magic', 'Explicit Violence', 'Based on a Manga']",,300
3x3 Eyes: Seima Densetsu,https://www.anime-planet.com/anime/3x3-eyes-seima-densetsu,"['Action', 'Fantasy', 'Seinen', 'Demons', 'Magic', 'Explicit Violence', 'Nudity', 'Based on a Manga']",,1225
The Little Lies We All Tell,https://www.anime-planet.com/anime/the-little-lies-we-all-tell,"['Comedy', 'Shounen', 'Slice of Life', 'Aliens', 'Crossdressing', 'Ninja', 'Non-Human Protagonists', 'Psychic Powers', 'Supernatural', 'Based on a Manga']","
Alt title: 4-nin wa Sorezore Uso wo Tsuku
",51464
40shuunendayocorocoroallstarshougakkou,https://www.anime-planet.com/anime/40-shuunen-da-yo-coro-coro-all-star-shougakkou,"['Comedy', 'Crossover', 'Gag', 'Proxy Battles', 'School Life', 'Short Episodes']",,35745
44-hiki no Neko,https://www.anime-planet.com/anime/44-hiki-no-neko,"['Animal Protagonists', 'Cats', 'Minna no Uta', 'Non-Human Protagonists']","
Alt title: Minna no Uta: 44-hiki no Neko
",8646
The Quintessential Quintuplets,https://www.anime-planet.com/anime/the-quintessential-quintuplets,"['Comedy', 'Drama', 'Harem', 'Romance', 'Shounen', 'School Life', 'Siblings', 'Tutors', 'Based on a Manga']","
Alt title: 5-toubun no Hanayome
",38101
The Quintessential Quintuplets Movie,https://www.anime-planet.com/anime/the-quintessential-quintuplets-movie,"['Comedy', 'Drama', 'Harem', 'Romance', 'Shounen', 'School Life', 'Siblings', 'Tutors', 'Based on a Manga']","
Alt title: 5-toubun no Hanayome Movie
",48548
The Quintessential Quintuplets 2,https://www.anime-planet.com/anime/the-quintessential-quintuplets-2,"['Comedy', 'Drama', 'Harem', 'Romance', 'Shounen', 'School Life', 'Siblings', 'Tutors', 'Based on a Manga']","
Alt title: 5-toubun no Hanayome ∬
",39783
The Quintessential Quintuplets∽,https://www.anime-planet.com/anime/the-quintessential-quintuplets-tilde,"['Comedy', 'Drama', 'Harem', 'Romance', 'Shounen', 'School Life', 'Siblings', 'Tutors', 'Based on a Manga']","
Alt title: 5-toubun no Hanayome∽
",54915
Six Angels,https://www.anime-planet.com/anime/six-angels,"['Action', 'Post-apocalyptic', 'Original Work']",,2475
663114,https://www.anime-planet.com/anime/663114,"['Environmental', 'Insects', 'Shorts', 'Original Work']",,13971
6♥Princess,https://www.anime-planet.com/anime/6-princess,"['Fantasy', 'Magical Girl', 'Magic', 'Promotional', 'Vocaloid', 'CG Animation']",,20913
7 Seeds,https://www.anime-planet.com/anime/7-seeds,"['Action', 'Adventure', 'Drama', 'Horror', 'Josei', 'Mystery', 'Sci Fi', 'Person in a Strange World', 'Post-apocalyptic', 'Psychological', 'Survival', 'Animal Abuse', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse', 'Violence', 'Based on a Manga']",,38735
7 Seeds 2nd Season,https://www.anime-planet.com/anime/7-seeds-2nd-season,"['Action', 'Adventure', 'Drama', 'Josei', 'Person in a Strange World', 'Post-apocalyptic', 'Ship', 'Survival', 'Based on a Manga']",,40602
Symphony in August: Shibuya 2002-2003,https://www.anime-planet.com/anime/symphony-in-august-shibuya-2002-2003,"['Drama', 'Autobiographies', 'Music', 'Based on a Novel']","
Alt title: 8-gatsu no Symphony: Shibuya 2002-2003
",6670
86: Eighty-Six,https://www.anime-planet.com/anime/86-eighty-six,"['Action', 'Drama', 'Sci Fi', 'Military', 'War', 'Mature Themes', 'Violence', 'Based on a Light Novel']",,41457
