Anime,URL,Tags,Alts,MAL_ID
JoJo's Bizarre Adventure (2012),https://www.anime-planet.com/anime/jojos-bizarre-adventure-2012,"['Action', 'Shounen', 'Hand to Hand Combat', 'Supernatural', 'Animal Abuse', 'Explicit Violence', 'Mature Themes', 'Based on a Manga']",['JoJo no Kimyou na Bouken (2012)'],14719
Black Clover,https://www.anime-planet.com/anime/black-clover,"['Action', 'Adventure', 'Fantasy', 'Shounen', 'Childhood Promise', 'Guilds', 'Magic', 'Violence', 'Based on a Manga']",[''],34572
DARLING in the FRANXX,https://www.anime-planet.com/anime/darling-in-the-franxx,"['Action', 'Drama', 'Mecha', 'Romance', 'Sci Fi', 'Coming of Age', 'Post-apocalyptic', 'Robots', 'Mature Themes', 'Violence', 'Original Work']",[''],35849
PSYCHO-PASS,https://www.anime-planet.com/anime/psycho-pass,"['Action', 'Sci Fi', 'Crime', 'Cyberpunk', 'Dystopia', 'Guns', 'Noir', 'noitaminA', 'Police', 'Psychopaths', 'Serial Killers', 'Thriller', 'Explicit Violence', 'Original Work']",[''],13601
Soul Eater,https://www.anime-planet.com/anime/soul-eater,"['Action', 'Fantasy', 'Shounen', 'Demons', 'Monster School', 'School Life', 'Shinigami', 'Supernatural', 'Based on a Manga']",[''],3588
Anohana: The Flower We Saw That Day,https://www.anime-planet.com/anime/anohana-the-flower-we-saw-that-day,"['Drama', 'Romance', 'Childhood Friends', 'Coming of Age', 'Death of a Loved One', 'Ghosts', 'Melancholy', 'noitaminA', 'Supernatural', 'Unrequited Love', 'Original Work']",['Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.'],9989
Tengen Toppa Gurren Lagann,https://www.anime-planet.com/anime/tengen-toppa-gurren-lagann,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci Fi', 'Combining Mecha', 'Post-apocalyptic', 'Super Robot', 'Violence', 'Original Work']",['Gurren Lagann'],2001
Charlotte,https://www.anime-planet.com/anime/charlotte,"['Comedy', 'Drama', 'Human Experimentation', 'School Life', 'Student Council', 'Supernatural', 'Superpowers', 'Original Work']",[''],28999
Overlord,https://www.anime-planet.com/anime/overlord,"['Action', 'Adventure', 'Fantasy', 'Dark Fantasy', 'Game Elements', 'Isekai', 'Magic', 'Overpowered Main Characters', 'Person in a Strange World', 'Skeletons', 'Trapped in a Video Game', 'Virtual Reality', 'Violence', 'Based on a Light Novel']",[''],29803
The Rising of the Shield Hero,https://www.anime-planet.com/anime/the-rising-of-the-shield-hero,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Seinen', 'Animal Characteristics', 'Betrayal', 'Dark Fantasy', 'Demons', 'Framed for a Crime', 'Game Elements', 'Isekai', 'Monsters', 'Person in a Strange World', 'Summoned Into Another World', 'Violence', 'Based on a Light Novel']",['Tate no Yuusha no Nariagari'],35790
The Devil is a Part-Timer!,https://www.anime-planet.com/anime/the-devil-is-a-part-timer,"['Action', 'Comedy', 'Fantasy', 'Slice of Life', 'Contemporary Fantasy', 'Coworkers', 'Demon King', 'Demons', 'Lifestyle Change', 'Non-Human Protagonists', 'Person in a Strange World', 'Restaurants', 'Reverse Isekai', 'Urban Fantasy', 'Work Life', 'Based on a Light Novel']",['Hataraku Maou-sama!'],15809
Is It Wrong to Try to Pick Up Girls in a Dungeon?,https://www.anime-planet.com/anime/is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon,"['Action', 'Comedy', 'Fantasy', 'Harem', 'Romance', 'Dungeon', 'Game Elements', 'God-Human Relationship', 'Gods', 'Guilds', 'Interspecies Relationship', 'Swordplay', 'Weak to Strong', 'Based on a Light Novel']",['Dungeon ni Deai wo Motomeru no wa Machigatte Iru Darou ka'],28121
Elfen Lied,https://www.anime-planet.com/anime/elfen-lied,"['Seinen', 'Human Experimentation', 'Overpowered Main Characters', 'Psychological', 'Split Personality', 'Supernatural', 'Superpowers', 'Animal Abuse', 'Emotional Abuse', 'Explicit Violence', 'Mature Themes', 'Nudity', 'Physical Abuse', 'Sexual Abuse', 'Based on a Manga']",[''],226
Highschool of the Dead,https://www.anime-planet.com/anime/highschool-of-the-dead,"['Action', 'Ecchi', 'Horror', 'Shounen', 'Apocalypse', 'Pandemic', 'Survival', 'Zombies', 'Explicit Violence', 'Mature Themes', 'Nudity', 'Physical Abuse', 'Suicide', 'Based on a Manga']",['Gakuen Mokushiroku: High School of the Dead'],8074
Mob Psycho 100 II,https://www.anime-planet.com/anime/mob-psycho-100-ii,"['Action', 'Comedy', 'Drama', 'Exorcists', 'Overpowered Main Characters', 'Psychic Powers', 'Psychological', 'School Life', 'Supernatural', 'Superpowers', 'Violence', 'Based on a Manga']",[''],37510
Fate/Zero,https://www.anime-planet.com/anime/fate-zero,"['Action', 'Fantasy', 'Contemporary Fantasy', 'Magic', 'Proxy Battles', 'Rivalries', 'Superpowers', 'Urban Fantasy', 'Violence', 'Based on a Light Novel']",[''],10087
